Year;Male;Female;Total
2000;393323;373676;766999
2001;377586;356889;734475
2002;369277;349973;719250
2003;362709;344012;706721
2004;362017;343605;705622
2005;351757;334038;685795
2006;345816;326908;672724
2007;351839;333023;684862
2008;349862;332652;682514
2009;341249;323877;665126
2010;347237;330710;677947
2011;339899;322786;662685
2012;345629;327915;673544
2013;349820;332249;682069
2014;366835;348092;714927
2015;378478;359097;737575
2016;405585;386546;792141
2017;402510;382374;784901
2018;404052;383471;787523
2019;399292;378798;778090
2020;397385;375759;773144
2021;408474;387018;795492
2022;379111;359708;738819
2023;355299;337690;692989
