Age of the mother;Married;Not married
under 18 years;3;179
18 years;48;401
19 years;206;843
20 years;469;1420
21 years;1007;1948
22 years;1661;2759
23 years;2773;3627
24 years;4167;4448
25 years;6418;5474
26 years;9207;6618
27 years;12330;7450
28 years;16303;8077
29 years;20955;9284
30 years;26146;10248
31 years;30739;11065
32 years;35138;12331
33 years;37299;12724
34 years;37221;12202
35 years;35832;11586
36 years;32039;10521
37 years;27488;9019
38 years;23832;7797
39 years;20282;6851
40 years;17100;5786
41 years;14024;4907
42 years;11222;4049
43 years;9001;3197
44 years;6689;2657
45 years;5197;2133
46 years;4057;1612
47 years;3115;1341
48 years;2419;1051
49 years;1868;876
50 years;1528;731
51 years;1148;570
52 years;939;541
53 years;842;404
54 years;654;364
55 years;520;315
56 years;420;277
57 years;314;186
58 years;284;145
59 years;196;133
60 years;135;94
61 years;99;85
62 years;91;55
63 years;81;65
64 years;53;38
65 years;41;31
66 years;28;24
67 years;32;11
68 years;26;11
69 years;13;10
70 years and over;58;21
age unknown;17;40623
