Age of the mother;Male (Married);Male (Not Married);Female (Married);Female (Not married)
under 15 years;-;25;-;28
15 years;-;98;-;88
16 years;.;.;.;.
17 years;22;568;24;526
18 years;84;1097;87;983
19 years;389;1688;405;1596
20 years;931;2356;835;2226
21 years;1499;2796;1513;2701
22 years;2134;3480;2201;3148
23 years;3413;3867;3243;3820
24 years;4718;4323;4401;4026
25 years;6179;4672;5950;4629
26 years;8335;5218;7761;5180
27 years;10527;5835;9801;5468
28 years;12261;6066;11777;5806
29 years;14799;6309;14108;5982
30 years;17244;6602;16410;6356
31 years;19104;6986;17862;6763
32 years;20013;7299;18959;6862
33 years;20624;7701;19864;7227
34 years;19042;7285;18206;6733
35 years;17618;6785;16736;6356
36 years;14923;5865;14190;5645
37 years;12142;5117;11397;4760
38 years;9342;4074;8849;3906
39 years;7337;3324;6901;3211
40 years;5566;2650;5391;2548
41 years;3765;1948;3714;1873
42 years;2441;1346;2310;1143
43 years;1434;795;1397;784
44 years;846;501;751;451
45 years;407;254;394;223
46 years;252;124;221;139
47 years;152;82;107;61
48 years;82;37;86;42
49 years;53;33;45;26
50 years and over;80;36;110;42
age unknown;.;.;.;.
