Age of the mother;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
15 years;0.9;1.0;1.0;0.9;0.8;0.8;0.8;0.8;0.8;0.6;0.6;0.7;0.6;0.7;0.7;0.8;0.8;0.7;0.5;0.6;0.6;0.6;0.5;0.5
16 years;2.8;3.1;3.2;3.0;2.8;2.6;2.6;2.5;2.6;2.3;2.3;2.1;2.0;2.0;2.1;2.2;2.4;2.1;1.8;1.5;1.7;1.5;1.4;1.4
17 years;7.0;7.5;7.7;7.1;6.4;6.2;5.8;5.5;5.7;5.2;5.1;4.8;4.8;4.4;4.8;4.7;5.3;4.4;4.1;3.5;3.4;3.2;3.3;3.1
18 years;13.9;14.1;13.6;13.1;12.3;11.2;10.6;10.3;9.9;9.3;9.3;8.7;8.5;8.9;8.5;8.3;9.7;8.5;7.7;7.3;6.9;6.2;6.1;6.0
19 years;24.9;24.6;23.1;22.1;20.9;20.2;19.1;18.3;17.2;16.3;16.2;15.7;14.8;14.6;14.5;14.5;16.9;14.8;13.6;12.7;12.0;10.9;11.1;10.4
20 years;35.2;34.3;32.2;30.6;29.2;29.1;27.7;26.5;25.3;23.2;22.4;21.8;22.2;20.4;20.5;20.8;23.1;20.5;19.9;18.8;17.3;16.2;16.1;15.9
21 years;45.0;43.4;41.7;39.2;37.5;36.6;34.9;33.7;32.0;29.9;28.9;27.9;27.5;26.3;25.5;26.2;29.9;27.1;25.7;24.0;22.7;21.5;21.7;20.8
22 years;53.5;51.8;48.8;47.9;45.7;43.1;41.7;40.6;38.4;36.3;35.3;33.3;32.5;31.5;31.7;31.6;35.5;33.1;31.9;29.4;27.8;26.8;26.7;26.0
23 years;61.8;59.2;57.3;54.5;53.1;51.0;48.4;47.7;45.3;43.0;42.0;39.9;38.9;38.0;37.9;38.1;40.5;39.0;38.4;36.6;33.9;32.9;32.2;32.1
24 years;69.0;66.8;64.5;62.2;61.9;58.6;56.3;54.4;53.1;50.7;50.0;47.9;47.0;45.4;45.6;45.9;48.9;46.2;46.3;44.7;43.1;40.9;39.7;38.7
25 years;79.2;74.8;72.6;71.5;70.3;67.5;65.2;64.1;61.8;60.1;59.9;57.9;56.4;55.7;55.7;55.7;58.0;56.7;55.0;53.5;51.8;51.8;49.0;46.0
26 years;87.3;82.8;79.8;79.2;78.4;76.1;73.9;73.5;71.4;68.9;69.5;67.7;67.8;66.4;67.2;67.4;69.8;67.9;66.4;63.7;62.9;63.9;60.7;54.6
27 years;92.5;88.6;86.3;85.2;85.2;83.5;80.8;81.8;80.0;77.6;77.9;76.3;76.6;75.7;77.3;78.1;81.7;79.9;77.0;75.3;74.3;75.0;70.0;65.3
28 years;95.4;92.5;91.5;90.7;90.2;87.8;87.1;88.1;87.3;84.8;86.5;85.6;85.6;85.6;87.7;89.3;93.1;90.6;89.9;87.1;87.0;88.1;82.1;75.5
29 years;97.1;94.4;94.9;94.3;95.0;92.1;91.4;93.8;92.8;91.0;93.2;92.7;91.9;93.3;97.2;98.7;103.3;102.4;100.6;99.4;98.2;102.0;93.2;85.5
30 years;96.4;93.8;93.3;94.8;95.4;94.1;93.9;97.0;97.1;95.7;97.7;97.6;99.9;98.8;104.4;106.0;110.6;110.6;109.6;108.0;109.0;112.4;104.2;93.9
31 years;91.8;89.5;90.7;91.4;94.2;94.0;93.3;96.6;97.8;97.0;100.0;100.4;102.1;103.6;108.1;110.1;115.8;115.6;114.8;114.6;114.4;119.6;109.2;100.4
32 years;84.9;83.2;83.3;84.7;87.8;88.5;88.8;92.3;94.7;94.2;97.3;98.7;99.8;102.1;107.6;109.1;114.6;115.0;114.8;114.7;114.2;120.7;110.5;101.9
33 years;75.0;74.3;75.5;77.0;80.4;80.6;81.9;87.4;88.6;88.8;92.5;92.4;94.6;96.5;102.1;105.4;109.5;110.2;110.2;110.4;110.1;116.5;104.5;98.0
34 years;64.6;64.6;65.7;67.0;70.4;71.7;71.9;78.0;80.5;81.8;84.7;85.9;87.5;90.1;94.4;97.1;102.2;101.6;103.5;103.0;102.8;108.6;98.5;91.6
35 years;53.1;53.7;56.2;58.2;60.3;60.9;62.8;68.0;71.2;71.5;75.9;77.1;78.4;81.4;85.6;87.8;92.9;92.3;94.8;94.0;94.5;99.1;89.2;83.1
36 years;42.0;43.4;45.3;47.2;49.7;50.9;52.2;56.9;60.0;61.5;64.9;67.0;68.7;69.9;73.9;76.6;81.3;81.6;82.6;81.9;82.3;87.3;78.0;72.6
37 years;32.2;33.1;35.3;36.6;39.1;39.6;41.2;45.4;47.2;49.1;53.0;55.0;56.4;58.5;61.4;62.6;67.4;67.6;68.8;68.8;68.7;72.4;64.9;60.4
38 years;24.1;24.9;25.7;27.3;29.2;30.8;32.0;34.3;37.0;38.2;40.7;42.5;44.5;47.1;49.7;50.3;53.7;54.3;55.9;54.7;54.5;58.2;52.6;48.7
39 years;17.8;17.8;18.8;20.0;21.8;22.8;24.2;26.0;27.5;28.8;30.9;32.7;34.1;35.9;38.9;39.6;42.4;42.7;43.7;43.9;43.6;45.9;41.9;38.9
40 years;12.6;12.6;13.4;13.8;15.2;16.1;17.1;18.6;20.3;20.8;22.6;23.7;25.1;26.5;28.6;30.0;31.9;32.2;32.9;33.3;33.6;35.8;32.0;30.1
41 years;8.0;8.2;8.8;9.1;9.5;10.1;11.2;12.3;13.2;13.9;14.8;15.7;16.1;17.2;18.8;20.3;21.5;21.6;22.3;22.6;22.4;23.9;22.5;20.7
42 years;4.9;4.9;5.2;5.5;5.8;6.2;6.7;7.4;8.0;8.3;8.9;9.3;10.0;10.4;11.7;11.8;13.3;13.6;14.4;14.1;14.1;15.3;14.1;13.4
43 years;3.0;2.9;3.0;3.2;3.3;3.6;3.9;4.1;4.5;4.8;5.0;5.3;5.6;6.0;6.6;6.6;7.7;8.0;8.5;8.6;8.9;9.0;8.6;8.1
44 years;1.5;1.5;1.7;1.6;1.7;1.9;2.0;2.2;2.4;2.6;2.6;2.8;2.9;3.2;3.3;3.6;4.0;4.1;4.7;4.7;4.8;5.0;4.8;4.9
45 years;0.7;0.8;0.8;0.8;0.9;0.9;1.0;1.1;1.2;1.3;1.4;1.4;1.5;1.5;1.6;1.8;1.9;2.3;2.5;2.5;2.5;2.6;2.7;2.5
46 years;0.3;0.3;0.3;0.4;0.4;0.4;0.5;0.5;0.5;0.6;0.6;0.6;0.7;0.7;0.8;0.9;1.1;1.1;1.2;1.2;1.3;1.3;1.5;1.5
47 years;0.1;0.2;0.1;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.3;0.3;0.3;0.4;0.4;0.4;0.5;0.5;0.5;0.7;0.7;0.7;0.8;0.8
48 years;0.1;0.0;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.2;0.2;0.2;0.2;0.3;0.2;0.3;0.3;0.3;0.3;0.5;0.5
49 years;0.0;0.0;0.0;0.0;0.0;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.2;0.1;0.2;0.3;0.3;0.2;0.3;0.3
