Year;Stillborn children;Stillborn children per 1000 live and stillborn
1950;24857;21.8
1951;24698;21.8
1952;23768;21.1
1953;22382;20.0
1954;22512;19.9
1955;22060;19.4
1956;21309;18.4
1957;20448;17.2
1958;19470;16.3
1959;19741;15.6
1960;19814;15.5
1961;19387;14.5
1962;18748;14.0
1963;18276;13.3
1964;17565;12.8
1965;16566;12.3
1966;15569;11.7
1967;14364;11.2
1968;13505;11.0
1969;12302;10.7
1970;10853;10.3
1971;10010;9.8
1972;8415;9.2
1973;7324;8.9
1974;6848;8.4
1975;6120;7.8
1976;5882;7.3
1977;5486;6.8
1978;5297;6.5
1979;4972;6.0
1980;4954;5.7
1981;4855;5.6
1982;4409;5.1
1983;4107;4.9
1984;3803;4.7
1985;3601;4.4
1986;3547;4.2
1987;3602;4.1
1988;3474;3.9
1989;3247;3.7
1990;3202;3.5
1991;2741;3.3
1992;2660;3.3
1993;2467;3.1
1994;3113;4.0
1995;3405;4.4
1996;3573;4.5
1997;3510;4.3
1998;3190;4.0
1999;3118;4.0
2000;3084;4.0
2001;2881;3.9
2002;2700;3.7
2003;2699;3.8
2004;2728;3.9
2005;2487;3.6
2006;2420;3.6
2007;2371;3.5
2008;2412;3.5
2009;2338;3.5
2010;2466;3.6
2011;2387;3.6
2012;2400;3.6
2013;2556;3.7
2014;2597;3.6
2015;2787;3.8
2016;2914;3.7
2017;3003;3.8
2018;3030;3.8
2019;3180;4.1
2020;3162;4.1
2021;3420;4.3
2022;3247;4.4
2023;3007;4.3
