Year;Live births per 1000 inhabitants
1950;16.3
1951;16.1
1952;15.9
1953;15.7
1954;15.9
1955;15.8
1956;16.0
1957;16.4
1958;16.4
1959;17.2
1960;17.3
1961;17.9
1962;17.8
1963;18.2
1964;18.1
1965;17.5
1966;17.3
1967;16.7
1968;15.8
1969;14.8
1970;13.5
1971;12.9
1972;11.4
1973;10.3
1974;10.2
1975;9.9
1976;10.2
1977;10.3
1978;10.4
1979;10.5
1980;11.0
1981;11.0
1982;11.0
1983;10.6
1984;10.4
1985;10.5
1986;10.9
1987;11.2
1988;11.4
1989;11.2
1990;11.4
1991;10.4
1992;10.0
1993;9.8
1994;9.5
1995;9.4
1996;9.7
1997;9.9
1998;9.6
1999;9.4
2000;9.3
2001;8.9
2002;8.7
2003;8.6
2004;8.5
2005;8.3
2006;8.2
2007;8.3
2008;8.3
2009;8.1
2010;8.3
2011;8.3
2012;8.4
2013;8.5
2014;8.8
2015;9.0
2016;9.6
2017;9.5
2018;9.5
2019;9.4
2020;9.3
2021;9.6
2022;8.8
2023;8.2
