Year;15 years;16 years;17 years;18 years;19 years;20 years;21 years;22 years;23 years;24 years;25 years;26 years;27 years;28 years;29 years;30 years;31 years;32 years;33 years;34 years;35 years;36 years;37 years;38 years;39 years;40 years;41 years;42 years;43 years;44 years;45 years;46 years;47 years;48 years;49 years
2000;0.9;2.8;7.0;13.9;24.9;35.2;45.0;53.5;61.8;69.0;79.2;87.3;92.5;95.4;97.1;96.4;91.8;84.9;75.0;64.6;53.1;42.0;32.2;24.1;17.8;12.6;8.0;4.9;3.0;1.5;0.7;0.3;0.1;0.1;0.0
2001;1.0;3.1;7.5;14.1;24.6;34.3;43.4;51.8;59.2;66.8;74.8;82.8;88.6;92.5;94.4;93.8;89.5;83.2;74.3;64.6;53.7;43.4;33.1;24.9;17.8;12.6;8.2;4.9;2.9;1.5;0.8;0.3;0.2;0.0;0.0
2002;1.0;3.2;7.7;13.6;23.1;32.2;41.7;48.8;57.3;64.5;72.6;79.8;86.3;91.5;94.9;93.3;90.7;83.3;75.5;65.7;56.2;45.3;35.3;25.7;18.8;13.4;8.8;5.2;3.0;1.7;0.8;0.3;0.1;0.1;0.0
2003;0.9;3.0;7.1;13.1;22.1;30.6;39.2;47.9;54.5;62.2;71.5;79.2;85.2;90.7;94.3;94.8;91.4;84.7;77.0;67.0;58.2;47.2;36.6;27.3;20.0;13.8;9.1;5.5;3.2;1.6;0.8;0.4;0.2;0.1;0.0
2004;0.8;2.8;6.4;12.3;20.9;29.2;37.5;45.7;53.1;61.9;70.3;78.4;85.2;90.2;95.0;95.4;94.2;87.8;80.4;70.4;60.3;49.7;39.1;29.2;21.8;15.2;9.5;5.8;3.3;1.7;0.9;0.4;0.2;0.1;0.0
2005;0.8;2.6;6.2;11.2;20.2;29.1;36.6;43.1;51.0;58.6;67.5;76.1;83.5;87.8;92.1;94.1;94.0;88.5;80.6;71.7;60.9;50.9;39.6;30.8;22.8;16.1;10.1;6.2;3.6;1.9;0.9;0.4;0.2;0.1;0.1
2006;0.8;2.6;5.8;10.6;19.1;27.7;34.9;41.7;48.4;56.3;65.2;73.9;80.8;87.1;91.4;93.9;93.3;88.8;81.9;71.9;62.8;52.2;41.2;32.0;24.2;17.1;11.2;6.7;3.9;2.0;1.0;0.5;0.2;0.1;0.1
2007;0.8;2.5;5.5;10.3;18.3;26.5;33.7;40.6;47.7;54.4;64.1;73.5;81.8;88.1;93.8;97.0;96.6;92.3;87.4;78.0;68.0;56.9;45.4;34.3;26.0;18.6;12.3;7.4;4.1;2.2;1.1;0.5;0.2;0.1;0.1
2008;0.8;2.6;5.7;9.9;17.2;25.3;32.0;38.4;45.3;53.1;61.8;71.4;80.0;87.3;92.8;97.1;97.8;94.7;88.6;80.5;71.2;60.0;47.2;37.0;27.5;20.3;13.2;8.0;4.5;2.4;1.2;0.5;0.2;0.1;0.1
2009;0.6;2.3;5.2;9.3;16.3;23.2;29.9;36.3;43.0;50.7;60.1;68.9;77.6;84.8;91.0;95.7;97.0;94.2;88.8;81.8;71.5;61.5;49.1;38.2;28.8;20.8;13.9;8.3;4.8;2.6;1.3;0.6;0.2;0.1;0.1
