Year;15 to under 45 years;15 to under 50 years
1990;0.696;0.696
1991;0.638;0.638
1992;0.620;0.620
1993;0.612;0.612
1994;0.594;0.594
1995;0.598;0.598
1996;0.629;0.629
1997;0.655;0.656
1998;0.649;0.649
1999;0.650;0.651
2000;0.664;0.665
2001;0.648;0.649
2002;0.646;0.646
2003;0.645;0.646
2004;0.653;0.654
2005;0.646;0.647
2006;0.640;0.641
2007;0.659;0.660
2008;0.664;0.665
2009;0.655;0.656
2010;0.673;0.674
2011;0.671;0.672
2012;0.677;0.679
2013;0.684;0.685
2014;0.711;0.712
2015;0.724;0.726
2016;0.769;0.771
2017;0.756;0.758
2018;0.754;0.756
2019;0.742;0.744
2020;0.734;0.737
2021;0.759;0.761
2022;0.700;0.703
2023;0.652;0.655
