Year;Month;Live births per 1000 inhabitants
2020;January;9.0
2020;February;8.9
2020;March;8.8
2020;April;9.0
2020;May;9.2
2020;June;9.7
2020;July;10.1
2020;August;9.9
2020;September;10.2
2020;October;9.3
2020;November;8.7
2020;December;8.6
2021;January;9.1
2021;February;9.5
2021;March;9.5
2021;April;9.3
2021;May;9.2
2021;June;9.7
2021;July;10.2
2021;August;10.3
2021;September;10.4
2021;October;9.7
2021;November;9.2
2021;December;8.7
2022;January;8.3
2022;February;8.4
2022;March;8.2
2022;April;8.3
2022;May;9.1
2022;June;9.4
2022;July;9.6
2022;August;9.5
2022;September;9.7
2022;October;8.9
2022;November;8.3
2022;December;7.9
2023;January;8.0
2023;February;8.2
2023;March;8.0
2023;April;7.8
2023;May;8.3
2023;June;8.6
2023;July;8.8
2023;August;8.6
2023;September;8.5
2023;October;8.2
2023;November;8.0
2023;December;7.5
