Tabelle: 12612-0002
Live births: Germany, months, sex;;;;
Birth statistics;;;;;;;
Germany;;;;;;;
Live births (number);;;;;;;
;;Male;;Female;;Total;
2020;January;32664;e;31049;e;63713;e
;February;30188;e;28512;e;58700;e
;March;31646;e;30584;e;62230;e
;April;31404;e;29835;e;61239;e
;May;33457;e;31247;e;64704;e
;June;33916;e;32194;e;66110;e
;July;36626;e;34436;e;71062;e
;August;35892;e;33800;e;69692;e
;September;35924;e;33533;e;69457;e
;October;33855;e;32164;e;66019;e
;November;30461;e;29041;e;59502;e
;December;31352;e;29364;e;60716;e
2021;January;32883;e;31442;e;64325;e
;February;31076;e;29519;e;60595;e
;March;34538;e;32522;e;67060;e
;April;32571;e;31030;e;63601;e
;May;33551;e;31197;e;64748;e
;June;33878;e;32107;e;65985;e
;July;37240;e;35027;e;72267;e
;August;37184;e;35358;e;72542;e
;September;36519;e;34843;e;71362;e
;October;35332;e;33490;e;68822;e
;November;32271;e;30624;e;62895;e
;December;31431;e;29859;e;61290;e
2022;January;30022;e;28387;e;58409;e
;February;27519;e;26198;e;53717;e
;March;29753;e;28378;e;58131;e
;April;29589;e;27855;e;57444;e
;May;33248;e;31830;e;65078;e
;June;33111;e;31553;e;64664;e
;July;35139;e;33244;e;68383;e
;August;34909;e;33037;e;67946;e
;September;34419;e;32511;e;66930;e
;October;32617;e;30757;e;63374;e
;November;29524;e;28302;e;57826;e
;December;29261;e;27656;e;56917;e
2023;January;29479;e;27621;e;57100;e
;February;27245;e;25765;e;53010;e
;March;29613;e;27912;e;57525;e
;April;27748;e;26308;e;54056;e
;May;30283;e;28978;e;59261;e
;June;30751;e;29007;e;59758;e
;July;32278;e;30915;e;63193;e
;August;31457;e;30018;e;61475;e
;September;30320;e;28913;e;59233;e
;October;29863;e;28741;e;58604;e
;November;28648;e;27109;e;55757;e
;December;27614;e;26403;e;54017;e
2024;January;28304;p;26824;p;55128;p
;February;27688;p;26053;p;53741;p
;March;28959;p;27181;p;56140;p
;April;28036;p;26569;p;54605;p
;May;29490;p;27953;p;57443;p
;June;28656;p;27011;p;55667;p
;July;30262;p;28613;p;58875;p
;August;30361;p;28790;p;59151;p
;September;...;;...;;...;
;October;...;;...;;...;
;November;...;;...;;...;
;December;...;;...;;...;
__________
© Federal Statistical Office, Wiesbaden 2024
created: 2024-11-28 / 12:15:07
