Tabelle: 12612-0007
Live births: Germany, years, age of the mother, sex of the;;;;;
child, marital status of the parents;;;;;
Birth statistics;;;;;;;;;
Germany;;;;;;;;;
Live births (number);;;;;;;;;
;;Sex of the child;;;;;;;
;;Male;;;;Female;;;
;;Marital status of the parents;;;;Marital status of the parents;;;
;;Married;;Not married;;Married;;Not married;
2023;under 15 years;-;;25;e;-;;28;e
;15 years;-;;98;e;-;;88;e
;16 years;.;;.;;.;;.;
;17 years;22;e;568;e;24;e;526;e
;18 years;84;e;1097;e;87;e;983;e
;19 years;389;e;1688;e;405;e;1596;e
;20 years;931;e;2356;e;835;e;2226;e
;21 years;1499;e;2796;e;1513;e;2701;e
;22 years;2134;e;3480;e;2201;e;3148;e
;23 years;3413;e;3867;e;3243;e;3820;e
;24 years;4718;e;4323;e;4401;e;4026;e
;25 years;6179;e;4672;e;5950;e;4629;e
;26 years;8335;e;5218;e;7761;e;5180;e
;27 years;10527;e;5835;e;9801;e;5468;e
;28 years;12261;e;6066;e;11777;e;5806;e
;29 years;14799;e;6309;e;14108;e;5982;e
;30 years;17244;e;6602;e;16410;e;6356;e
;31 years;19104;e;6986;e;17862;e;6763;e
;32 years;20013;e;7299;e;18959;e;6862;e
;33 years;20624;e;7701;e;19864;e;7227;e
;34 years;19042;e;7285;e;18206;e;6733;e
;35 years;17618;e;6785;e;16736;e;6356;e
;36 years;14923;e;5865;e;14190;e;5645;e
;37 years;12142;e;5117;e;11397;e;4760;e
;38 years;9342;e;4074;e;8849;e;3906;e
;39 years;7337;e;3324;e;6901;e;3211;e
;40 years;5566;e;2650;e;5391;e;2548;e
;41 years;3765;e;1948;e;3714;e;1873;e
;42 years;2441;e;1346;e;2310;e;1143;e
;43 years;1434;e;795;e;1397;e;784;e
;44 years;846;e;501;e;751;e;451;e
;45 years;407;e;254;e;394;e;223;e
;46 years;252;e;124;e;221;e;139;e
;47 years;152;e;82;e;107;e;61;e
;48 years;82;e;37;e;86;e;42;e
;49 years;53;e;33;e;45;e;26;e
;50 years and over;80;e;36;e;110;e;42;e
;age unknown;.;;.;;.;;.;
__________
"1992-1998:
For the years 1992-1998, there are cases where the mother's
age is not known.

Age of the mother:
Difference between the child's year of birth and the
mother's year of birth (""year-of-birth method"")."
© Federal Statistical Office, Wiesbaden 2024
created: 2024-11-28 / 12:20:13
