Tabelle: 12612-0005
Live births: Germany, years, age of the mother, live birth;;;;;
order;;;;;
Birth statistics;;;;;;;;;
Germany;;;;;;;;;
Live births (number);;;;;;;;;
;;Live birth order;;;;;;;
;;First child;;Second child;;Third child;;Fourth or further child;
2023;under 15 years;.;;.;;-;;-;
;15 years;182;e;4;e;-;;-;
;16 years;504;e;17;e;-;;-;
;17 years;1060;e;.;;.;;-;
;18 years;1947;e;282;e;.;;.;
;19 years;3376;e;599;e;94;e;9;e
;20 years;5013;e;1124;e;187;e;24;e
;21 years;6171;e;1903;e;348;e;87;e
;22 years;7589;e;2653;e;569;e;152;e
;23 years;9410;e;3719;e;920;e;294;e
;24 years;10966;e;4630;e;1409;e;463;e
;25 years;13192;e;5717;e;1800;e;721;e
;26 years;15897;e;7307;e;2336;e;954;e
;27 years;18340;e;9154;e;2875;e;1262;e
;28 years;20170;e;10866;e;3265;e;1609;e
;29 years;22363;e;12981;e;3886;e;1968;e
;30 years;24752;e;15268;e;4496;e;2096;e
;31 years;25411;e;17541;e;5261;e;2502;e
;32 years;24665;e;19768;e;5901;e;2799;e
;33 years;23546;e;22070;e;6629;e;3171;e
;34 years;19953;e;21239;e;6825;e;3249;e
;35 years;16987;e;20034;e;6970;e;3504;e
;36 years;13668;e;16834;e;6565;e;3556;e
;37 years;10409;e;13785;e;5948;e;3274;e
;38 years;7821;e;10456;e;4916;e;2978;e
;39 years;6022;e;8062;e;4114;e;2575;e
;40 years;4722;e;6083;e;3145;e;2205;e
;41 years;3331;e;3977;e;2210;e;1782;e
;42 years;2062;e;2355;e;1499;e;1324;e
;43 years;1202;e;1435;e;882;e;891;e
;44 years;767;e;789;e;471;e;522;e
;45 years;428;e;347;e;242;e;261;e
;46 years;254;e;210;e;128;e;144;e
;47 years;168;e;101;e;56;e;77;e
;48 years;115;e;72;e;28;e;32;e
;49 years;76;e;50;e;16;e;15;e
;50 years and over;111;e;78;e;41;e;38;e
;age unknown;.;;.;;.;;.;
__________
"Age of the mother:
Difference between the child's year of birth and the
mother's year of birth (""year-of-birth method"")."
© Federal Statistical Office, Wiesbaden 2024
created: 2024-11-28 / 12:19:34
