Tabelle: 12612-0016
Multiple births: Germany, years, type of multiple birth;;;
Birth statistics;;;;;;
Germany;;;;;;
Multiple births (number);;;;;;
;Twin births;;Triplet births;;Quadruplet births or more;
1950;13103;e;104;e;2;e
1951;13181;e;103;e;1;e
1952;12698;e;111;e;1;e
1953;12295;e;107;e;2;e
1954;12728;e;99;e;1;e
1955;13089;e;111;e;0;e
1956;13307;e;119;e;1;e
1957;13380;e;122;e;0;e
1958;13428;e;113;e;3;e
1959;14183;e;128;e;4;e
1960;14509;e;111;e;1;e
1961;14701;e;137;e;0;e
1962;14657;e;128;e;2;e
1963;14817;e;128;e;1;e
1964;15028;e;116;e;0;e
1965;14365;e;117;e;3;e
1966;13773;e;147;e;0;e
1967;13018;e;110;e;1;e
1968;12186;e;107;e;1;e
1969;11296;e;95;e;2;e
1970;10250;e;103;e;1;e
1971;9751;e;91;e;0;e
1972;8558;e;64;e;2;e
1973;7699;e;81;e;1;e
1974;7554;e;78;e;2;e
1975;7186;e;72;e;0;e
1976;7488;e;74;e;5;e
1977;7141;e;75;e;2;e
1978;7243;e;60;e;1;e
1979;7371;e;60;e;2;e
1980;7967;e;94;e;6;e
1981;7781;e;103;e;7;e
1982;7867;e;95;e;5;e
1983;7792;e;76;e;9;e
1984;7909;e;124;e;11;e
1985;8249;e;137;e;17;e
1986;8792;e;138;e;15;e
1987;9186;e;158;e;22;e
1988;9483;e;217;e;21;e
1989;9544;e;215;e;20;e
1990;10024;e;204;e;13;e
1991;9620;e;234;e;11;e
1992;9564;e;240;e;12;e
1993;9826;e;276;e;11;e
1994;9744;e;262;e;11;e
1995;10095;e;280;e;10;e
1996;11063;e;386;e;16;e
1997;11465;e;401;e;13;e
1998;11702;e;491;e;10;e
1999;11481;e;486;e;9;e
2000;11546;e;398;e;9;e
2001;11064;e;346;e;11;e
2002;11438;e;341;e;1;e
2003;11148;e;295;e;5;e
2004;12032;e;338;e;10;e
2005;10447;e;242;e;10;e
2006;10538;e;223;e;3;e
2007;10829;e;247;e;8;e
2008;10820;e;247;e;5;e
2009;11026;e;251;e;9;e
2010;11573;e;258;e;7;e
2011;11254;e;230;e;6;e
2012;11648;e;230;e;3;e
2013;12119;e;230;e;6;e
2014;12977;e;282;e;11;e
2015;13368;e;258;e;11;e
2016;14371;e;258;e;6;e
2017;14415;e;287;e;10;e
2018;14099;e;260;e;6;e
2019;14088;e;265;e;5;e
2020;13663;e;198;e;6;e
2021;13390;e;202;e;4;e
2022;12532;e;196;e;10;e
2023;11096;e;176;e;.;
__________
"2023:
""Triplet births"" including ""Quadruplet births or more""."
© Federal Statistical Office, Wiesbaden 2024
created: 2024-11-28 / 12:26:23
