Tabelle: 12612-0018
Stillborn children, stillborn children per 1000 live and;;
stillborn: Germany, years;;
Birth statistics;;;;
Germany;;;;
;Stillborn children;;Stillborn children per 1000 live and stillborn;
;number;number;number;number
1950;24857;e;21.8;e
1951;24698;e;21.8;e
1952;23768;e;21.1;e
1953;22382;e;20.0;e
1954;22512;e;19.9;e
1955;22060;e;19.4;e
1956;21309;e;18.4;e
1957;20448;e;17.2;e
1958;19470;e;16.3;e
1959;19741;e;15.6;e
1960;19814;e;15.5;e
1961;19387;e;14.5;e
1962;18748;e;14.0;e
1963;18276;e;13.3;e
1964;17565;e;12.8;e
1965;16566;e;12.3;e
1966;15569;e;11.7;e
1967;14364;e;11.2;e
1968;13505;e;11.0;e
1969;12302;e;10.7;e
1970;10853;e;10.3;e
1971;10010;e;9.8;e
1972;8415;e;9.2;e
1973;7324;e;8.9;e
1974;6848;e;8.4;e
1975;6120;e;7.8;e
1976;5882;e;7.3;e
1977;5486;e;6.8;e
1978;5297;e;6.5;e
1979;4972;e;6.0;e
1980;4954;e;5.7;e
1981;4855;e;5.6;e
1982;4409;e;5.1;e
1983;4107;e;4.9;e
1984;3803;e;4.7;e
1985;3601;e;4.4;e
1986;3547;e;4.2;e
1987;3602;e;4.1;e
1988;3474;e;3.9;e
1989;3247;e;3.7;e
1990;3202;e;3.5;e
1991;2741;e;3.3;e
1992;2660;e;3.3;e
1993;2467;e;3.1;e
1994;3113;e;4.0;e
1995;3405;e;4.4;e
1996;3573;e;4.5;e
1997;3510;e;4.3;e
1998;3190;e;4.0;e
1999;3118;e;4.0;e
2000;3084;e;4.0;e
2001;2881;e;3.9;e
2002;2700;e;3.7;e
2003;2699;e;3.8;e
2004;2728;e;3.9;e
2005;2487;e;3.6;e
2006;2420;e;3.6;e
2007;2371;e;3.5;e
2008;2412;e;3.5;e
2009;2338;e;3.5;e
2010;2466;e;3.6;e
2011;2387;e;3.6;e
2012;2400;e;3.6;e
2013;2556;e;3.7;e
2014;2597;e;3.6;e
2015;2787;e;3.8;e
2016;2914;e;3.7;e
2017;3003;e;3.8;e
2018;3030;e;3.8;e
2019;3180;e;4.1;e
2020;3162;e;4.1;e
2021;3420;e;4.3;e
2022;3247;e;4.4;e
2023;3007;e;4.3;e
__________
"Stillborn children:
Birth weight from 1 July 1979 to 31 March 1994 at least 1000
grams, from 1 April 1994 at least 500 grams, from 1 November
2018 at least 500 grams or the 24th week of pregnancy was
reached."
© Federal Statistical Office, Wiesbaden 2024
created: 2024-11-28 / 12:27:03
